Participant,AWEQ,AWE.1,AWE.2,AWE.3,AWE.4,AWE.5,AWE.6,AWE.7,AWE.8,AWE.9,AWE.10,AWE.11,AWE.12,AWE.13,AWE.14,AWE.15,AWE.16,AWE.17,AWE.18,AgeLearn,AgeFluent,AgeRead,AgeFluentRead,PrimInstruct,CounEng,FamEng,EnvEng,ForeignAccent,EngRead,EngWrite,EngSpeak,EngListen,EngProf,ThaiDaily,EngDaily,ThaiAcad,EngAcad
19,4.375,4,NA,NA,5,5,4,NA,NA,NA,5,5,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2.888888889,5,1,3,3,4,2,3,1,5,5,5,2,4,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3.857142857,5,2,4,4,4,4,NA,NA,4,5,4,NA,4,5,4,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2.588235294,3,3,1,3,4,2,1,1,4,3,3,2,2,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,3.666666667,5,3,5,4,4,4,3,5,5,5,5,4,4,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,3.529411765,5,4,5,4,4,5,1,2,4,5,5,3,4,2,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,4.25,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,3.266666667,5,4,3,5,3,2,2,5,NA,5,3,2,3,5,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,4.416666667,4,1,5,5,5,5,5,NA,NA,4,4,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
